run_id,variant,group,shock_scale,hostility_scale,recovery_scale,time,event
floor_bounce_0055,floor_bounce,1,0.940807,1.022393,1.222415,6,1
baseline_no_bounce_0056,baseline_no_bounce,0,1.023742,1.103876,1.17936,9,1
floor_bounce_0056,floor_bounce,1,1.023742,1.103876,1.17936,7,1
baseline_no_bounce_0058,baseline_no_bounce,0,1.045947,0.878398,1.130663,6,1
floor_bounce_0058,floor_bounce,1,1.045947,0.878398,1.130663,5,1
baseline_no_bounce_0059,baseline_no_bounce,0,1.121513,0.801002,1.077733,5,1
floor_bounce_0059,floor_bounce,1,1.121513,0.801002,1.077733,4,1
baseline_no_bounce_0060,baseline_no_bounce,0,0.960779,0.703395,1.067943,3,1
floor_bounce_0060,floor_bounce,1,0.960779,0.703395,1.067943,2,1
baseline_no_bounce_0061,baseline_no_bounce,0,0.990957,0.850943,1.078442,5,1
floor_bounce_0061,floor_bounce,1,0.990957,0.850943,1.078442,3,1
baseline_no_bounce_0062,baseline_no_bounce,0,1.097619,0.884493,1.060053,6,1
floor_bounce_0062,floor_bounce,1,1.097619,0.884493,1.060053,5,1
baseline_no_bounce_0063,baseline_no_bounce,0,1.203013,0.857467,1.057134,6,1
floor_bounce_0063,floor_bounce,1,1.203013,0.857467,1.057134,5,1
baseline_no_bounce_0064,baseline_no_bounce,0,1.000551,1.453202,0.720655,14,1
floor_bounce_0064,floor_bounce,1,1.000551,1.453202,0.720655,10,1
baseline_no_bounce_0065,baseline_no_bounce,0,1.139057,0.938751,0.98497,8,1
floor_bounce_0065,floor_bounce,1,1.139057,0.938751,0.98497,6,1
baseline_no_bounce_0066,baseline_no_bounce,0,1.380318,0.998285,1.336142,9,1
floor_bounce_0066,floor_bounce,1,1.380318,0.998285,1.336142,7,1
baseline_no_bounce_0067,baseline_no_bounce,0,0.91157,1.070102,0.926373,8,1
floor_bounce_0067,floor_bounce,1,0.91157,1.070102,0.926373,6,1
baseline_no_bounce_0068,baseline_no_bounce,0,0.861862,1.012497,0.957614,7,1
floor_bounce_0068,floor_bounce,1,0.861862,1.012497,0.957614,5,1
baseline_no_bounce_0070,baseline_no_bounce,0,0.966601,1.348581,0.848933,12,1
floor_bounce_0070,floor_bounce,1,0.966601,1.348581,0.848933,9,1
baseline_no_bounce_0071,baseline_no_bounce,0,1.058507,1.632988,0.869541,16,1
floor_bounce_0071,floor_bounce,1,1.058507,1.632988,0.869541,11,1
baseline_no_bounce_0072,baseline_no_bounce,0,0.70094,0.890698,1.070873,3,1
floor_bounce_0072,floor_bounce,1,0.70094,0.890698,1.070873,2,1
baseline_no_bounce_0073,baseline_no_bounce,0,1.138668,1.258073,0.961448,12,1
floor_bounce_0073,floor_bounce,1,1.138668,1.258073,0.961448,8,1
baseline_no_bounce_0074,baseline_no_bounce,0,0.67955,0.912994,1.186033,4,1
floor_bounce_0074,floor_bounce,1,0.67955,0.912994,1.186033,3,1
baseline_no_bounce_0076,baseline_no_bounce,0,1.279634,1.42531,1.084253,14,1
floor_bounce_0076,floor_bounce,1,1.279634,1.42531,1.084253,10,1
baseline_no_bounce_0077,baseline_no_bounce,0,1.06186,0.751959,0.873514,5,1
floor_bounce_0077,floor_bounce,1,1.06186,0.751959,0.873514,3,1
baseline_no_bounce_0078,baseline_no_bounce,0,1.009383,1.10064,1.087028,9,1
floor_bounce_0078,floor_bounce,1,1.009383,1.10064,1.087028,7,1
baseline_no_bounce_0079,baseline_no_bounce,0,0.904358,0.769612,0.883333,3,1
floor_bounce_0079,floor_bounce,1,0.904358,0.769612,0.883333,2,1
baseline_no_bounce_0080,baseline_no_bounce,0,0.768605,1.128682,0.653158,8,1
floor_bounce_0080,floor_bounce,1,0.768605,1.128682,0.653158,6,1
baseline_no_bounce_0081,baseline_no_bounce,0,0.933344,1.089976,1.228302,8,1
floor_bounce_0081,floor_bounce,1,0.933344,1.089976,1.228302,6,1
baseline_no_bounce_0082,baseline_no_bounce,0,1.01426,1.200257,0.940149,10,1
floor_bounce_0082,floor_bounce,1,1.01426,1.200257,0.940149,7,1
baseline_no_bounce_0083,baseline_no_bounce,0,0.851119,0.865121,1.2291,5,1
floor_bounce_0083,floor_bounce,1,0.851119,0.865121,1.2291,3,1
baseline_no_bounce_0084,baseline_no_bounce,0,1.198844,1.09748,1.49954,9,1
floor_bounce_0084,floor_bounce,1,1.198844,1.09748,1.49954,7,1
baseline_no_bounce_0085,baseline_no_bounce,0,0.993532,1.12407,1.046139,9,1
floor_bounce_0085,floor_bounce,1,0.993532,1.12407,1.046139,7,1
baseline_no_bounce_0086,baseline_no_bounce,0,0.955623,1.463234,1.225991,13,1
floor_bounce_0086,floor_bounce,1,0.955623,1.463234,1.225991,9,1
baseline_no_bounce_0087,baseline_no_bounce,0,0.720104,0.920031,1.06425,5,1
floor_bounce_0087,floor_bounce,1,0.720104,0.920031,1.06425,3,1
baseline_no_bounce_0088,baseline_no_bounce,0,1.156637,0.730311,0.661666,5,1
floor_bounce_0088,floor_bounce,1,1.156637,0.730311,0.661666,4,1
baseline_no_bounce_0089,baseline_no_bounce,0,0.618727,0.985778,0.98452,5,1
floor_bounce_0089,floor_bounce,1,0.618727,0.985778,0.98452,3,1
baseline_no_bounce_0090,baseline_no_bounce,0,1.069044,0.846065,0.816364,6,1
floor_bounce_0090,floor_bounce,1,1.069044,0.846065,0.816364,5,1
baseline_no_bounce_0091,baseline_no_bounce,0,0.595391,1.065837,1.055508,6,1
floor_bounce_0091,floor_bounce,1,0.595391,1.065837,1.055508,5,1
baseline_no_bounce_0092,baseline_no_bounce,0,1.198599,1.158159,0.971393,11,1
floor_bounce_0092,floor_bounce,1,1.198599,1.158159,0.971393,8,1
baseline_no_bounce_0093,baseline_no_bounce,0,1.269852,0.972727,0.900875,8,1
floor_bounce_0093,floor_bounce,1,1.269852,0.972727,0.900875,6,1
baseline_no_bounce_0094,baseline_no_bounce,0,0.895884,0.883038,0.675139,5,1
floor_bounce_0094,floor_bounce,1,0.895884,0.883038,0.675139,4,1
baseline_no_bounce_0095,baseline_no_bounce,0,1.031265,1.049977,0.94566,8,1
floor_bounce_0095,floor_bounce,1,1.031265,1.049977,0.94566,6,1
baseline_no_bounce_0096,baseline_no_bounce,0,0.857232,1.074361,1.257531,7,1
floor_bounce_0096,floor_bounce,1,0.857232,1.074361,1.257531,6,1
baseline_no_bounce_0097,baseline_no_bounce,0,1.007651,0.898473,0.911283,6,1
floor_bounce_0097,floor_bounce,1,1.007651,0.898473,0.911283,5,1
baseline_no_bounce_0098,baseline_no_bounce,0,0.986049,0.747047,0.981211,3,1
floor_bounce_0098,floor_bounce,1,0.986049,0.747047,0.981211,2,1
baseline_no_bounce_0099,baseline_no_bounce,0,1.012236,1.368936,1.141521,12,1
floor_bounce_0099,floor_bounce,1,1.012236,1.368936,1.141521,8,1
baseline_no_bounce_0100,baseline_no_bounce,0,1.206806,0.85741,1.100488,6,1
floor_bounce_0100,floor_bounce,1,1.206806,0.85741,1.100488,5,1
baseline_no_bounce_0101,baseline_no_bounce,0,0.772124,1.062392,1.062811,6,1
